Indicator ID,Indicator name,Country,Region,Ocean,Resp,Type,Year,Score
2,Distant water vessels under several RFMOs,Equatorial Guinea,Africa,East Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Eritrea,Africa,West Indian Ocean,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Estonia,Europe,East Atlantic,Flag,Vulnerability,2023,2
2,Distant water vessels under several RFMOs,Fiji,Oceania,Western Pacific,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Finland,Europe,East Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,France,Europe,East Atlantic and Mediterranean,Flag,Vulnerability,2023,5
2,Distant water vessels under several RFMOs,Gabon,Africa,East Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Gambia,Africa,East Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Georgia,Middle East,Mediterranean & Black Sea,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Germany,Europe,East Atlantic,Flag,Vulnerability,2023,4
2,Distant water vessels under several RFMOs,Ghana,Africa,East Atlantic,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Greece,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,2
2,Distant water vessels under several RFMOs,Grenada,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Guatemala,Caribbean & Central America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,2
2,Distant water vessels under several RFMOs,Guinea,Africa,East Atlantic,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Guinea-Bissau,Africa,East Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Guyana,South America,West Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Haiti,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Honduras,Caribbean & Central America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Iceland,Europe,East Atlantic,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,India,Asia,East Indian Ocean and West Indian Ocean,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Indonesia,Asia,East Indian Ocean and Western Pacific,Flag,Vulnerability,2023,3
2,Distant water vessels under several RFMOs,Iran,Middle East,West Indian Ocean,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Iraq,Middle East,West Indian Ocean,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Ireland,Europe,East Atlantic,Flag,Vulnerability,2023,2
2,Distant water vessels under several RFMOs,Israel,Middle East,Mediterranean & Black Sea,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Italy,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,3
2,Distant water vessels under several RFMOs,Jamaica,Caribbean & Central America,West Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Japan,Asia,Western Pacific,Flag,Vulnerability,2023,5
2,Distant water vessels under several RFMOs,Jordan,Middle East,Mediterranean & Black Sea,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Kenya,Africa,West Indian Ocean,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Kiribati,Oceania,Western Pacific,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Korea (North),Asia,Western Pacific,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Korea (Rep. South),Asia,Western Pacific,Flag,Vulnerability,2023,5
2,Distant water vessels under several RFMOs,Kuwait,Middle East,West Indian Ocean,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Latvia,Europe,East Atlantic,Flag,Vulnerability,2023,3
2,Distant water vessels under several RFMOs,Lebanon,Middle East,Mediterranean & Black Sea,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Liberia,Africa,East Atlantic,Flag,Vulnerability,2023,4
2,Distant water vessels under several RFMOs,Libya,Africa,Mediterranean & Black Sea,Flag,Vulnerability,2023,2
2,Distant water vessels under several RFMOs,Lithuania,Europe,East Atlantic,Flag,Vulnerability,2023,5
2,Distant water vessels under several RFMOs,Madagascar,Africa,West Indian Ocean,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Malaysia,Asia,East Indian Ocean and Western Pacific,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Maldives,Asia,West Indian Ocean,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Malta,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,2
2,Distant water vessels under several RFMOs,Marshall Isl.,Oceania,Western Pacific,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Mauritania,Africa,East Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Mauritius,Africa,West Indian Ocean,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Mexico,Caribbean & Central America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,3
2,Distant water vessels under several RFMOs,Micronesia (FS of),Oceania,Western Pacific,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Monaco,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Montenegro,Europe,Mediterranean & Black Sea,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Morocco,Africa,East Atlantic and Mediterranean,Flag,Vulnerability,2023,2
2,Distant water vessels under several RFMOs,Mozambique,Africa,West Indian Ocean,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Myanmar,Asia,East Indian Ocean,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Namibia,Africa,East Atlantic,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Nauru,Oceania,Western Pacific,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Netherlands,Europe,East Atlantic,Flag,Vulnerability,2023,5
2,Distant water vessels under several RFMOs,New Zealand,Oceania,Western Pacific,Flag,Vulnerability,2023,4
2,Distant water vessels under several RFMOs,Nicaragua,Caribbean & Central America,Eastern Pacific and West Atlantic,Flag,Vulnerability,2023,2
2,Distant water vessels under several RFMOs,Nigeria,Africa,East Atlantic,Flag,Vulnerability,2023,
2,Distant water vessels under several RFMOs,Norway,Europe,East Atlantic,Flag,Vulnerability,2023,4
2,Distant water vessels under several RFMOs,Oman,Middle East,West Indian Ocean,Flag,Vulnerability,2023,1
2,Distant water vessels under several RFMOs,Pakistan,Asia,West Indian Ocean,Flag,Vulnerability,2023,
